sdv_user_id,calendar_date,start_time_in_seconds,duration_in_seconds,average_stress_level,resting_heart_rate_in_beats_per_minute,end_time_in_seconds,start_date_time,end_date_time,week_nr,weekday
8101,2025-01-01,1735689600,86400,26,59,1735776000,01/01/2025 00:00,01/02/2025 00:00,1,2
8101,2025-02-01,1735776000,86400,37,59,1735862400,01/02/2025 00:00,01/03/2025 00:00,1,3
8101,2025-03-01,1735862400,86400,30,58,1735948800,01/03/2025 00:00,01/04/2025 00:00,1,4
8101,2025-04-01,1735948800,86400,32,57,1736035200,01/04/2025 00:00,01/05/2025 00:00,1,5
8101,2025-05-01,1736035200,86400,25,57,1736121600,01/05/2025 00:00,01/06/2025 00:00,1,6
8101,2025-06-01,1736121600,86400,28,62,1736208000,01/06/2025 00:00,01/07/2025 00:00,2,0
8101,2025-07-01,1736208000,86400,22,57,1736294400,01/07/2025 00:00,01/08/2025 00:00,2,1
8101,2025-08-01,1736294400,86400,23,59,1736380800,01/08/2025 00:00,01/09/2025 00:00,2,2
8101,2025-09-01,1736380800,86400,36,64,1736467200,01/09/2025 00:00,01/10/2025 00:00,2,3
8101,2025-10-01,1736467200,86400,26,64,1736553600,01/10/2025 00:00,01/11/2025 00:00,2,4
8101,2025-11-01,1736553600,86400,21,54,1736640000,01/11/2025 00:00,01/12/2025 00:00,2,5
8101,2025-12-01,1736640000,86400,33,59,1736726400,01/12/2025 00:00,01/13/2025 00:00,2,6
8101,2025-01-13,1736726400,86400,30,55,1736812800,01/13/2025 00:00,01/14/2025 00:00,3,0
8101,2025-01-14,1736812800,86400,31,59,1736899200,01/14/2025 00:00,01/15/2025 00:00,3,1
8101,2025-01-15,1736899200,86400,31,56,1736985600,01/15/2025 00:00,01/16/2025 00:00,3,2
8101,2025-01-16,1736985600,86400,24,54,1737072000,01/16/2025 00:00,01/17/2025 00:00,3,3
8101,2025-01-17,1737072000,86400,19,58,1737158400,01/17/2025 00:00,01/18/2025 00:00,3,4
8101,2025-01-18,1737158400,86400,24,60,1737244800,01/18/2025 00:00,01/19/2025 00:00,3,5
8101,2025-01-19,1737244800,86400,22,57,1737331200,01/19/2025 00:00,01/20/2025 00:00,3,6
8101,2025-01-20,1737331200,86400,17,54,1737417600,01/20/2025 00:00,01/21/2025 00:00,4,0
8101,2025-01-21,1737417600,86400,20,61,1737504000,01/21/2025 00:00,01/22/2025 00:00,4,1
8101,2025-01-22,1737504000,86400,28,58,1737590400,01/22/2025 00:00,01/23/2025 00:00,4,2
8101,2025-01-23,1737590400,86400,22,58,1737676800,01/23/2025 00:00,01/24/2025 00:00,4,3
8101,2025-01-24,1737676800,86400,28,59,1737763200,01/24/2025 00:00,01/25/2025 00:00,4,4
8101,2025-01-25,1737763200,86400,24,53,1737849600,01/25/2025 00:00,01/26/2025 00:00,4,5
8101,2025-01-26,1737849600,86400,16,60,1737936000,01/26/2025 00:00,01/27/2025 00:00,4,6
8101,2025-01-27,1737936000,86400,23,57,1738022400,01/27/2025 00:00,01/28/2025 00:00,5,0
8101,2025-01-28,1738022400,86400,18,65,1738108800,01/28/2025 00:00,01/29/2025 00:00,5,1
